tricho_phage_NPSG.2	466	690	76	4
tricho_phage_NPSG.2	1259	2245	760	40
tricho_phage_NPSG.2	2441	3850	0	0
tricho_phage_NPSG.2	3919	4164	0	0
tricho_phage_NPSG.2	4154	4399	0	0
tricho_phage_NPSG.2	4405	4695	114	6
tricho_phage_NPSG.2	4705	4962	0	0
tricho_phage_NPSG.2	4968	5387	42	1
tricho_phage_NPSG.2	5390	5689	348	6
tricho_phage_NPSG.2	5779	8625	2767	40
tricho_phage_NPSG.2	8740	8913	0	0
tricho_phage_NPSG.2	8845	9303	0	0
tricho_phage_NPSG.2	9398	9769	0	0
tricho_phage_NPSG.2	9811	10626	178	2
tricho_phage_NPSG.2	10721	11380	202	2
tricho_phage_NPSG.2	11513	12670	278	14
tricho_phage_NPSG.2	12972	13379	40	2
tricho_phage_NPSG.2	13483	13992	0	0
tricho_phage_NPSG.2	14233	14937	228	12
tricho_phage_NPSG.2	14903	15127	0	0
tricho_phage_NPSG.2	15117	16163	0	0
tricho_phage_NPSG.2	16163	16561	0	0
tricho_phage_NPSG.2	16639	17097	346	18
tricho_phage_NPSG.2	17121	17687	77	4
tricho_phage_NPSG.2	17713	18147	0	0
tricho_phage_NPSG.2	18137	18565	117	6
tricho_phage_NPSG.2	18604	18981	0	0
tricho_phage_NPSG.2	19046	20212	0	0
tricho_phage_NPSG.2	20184	22280	0	0
tricho_phage_NPSG.2	22280	22666	0	0
tricho_phage_NPSG.2	22721	23137	80	4
tricho_phage_NPSG.2	23134	24516	0	0
tricho_phage_NPSG.2	24513	25124	38	2
tricho_phage_NPSG.2	25111	26070	304	16
tricho_phage_NPSG.2	26073	27179	120	6
tricho_phage_NPSG.2	27338	28708	268	14
tricho_phage_NPSG.2	29041	29475	0	0
tricho_phage_NPSG.2	29522	29896	76	4
tricho_phage_NPSG.2	29900	30694	76	4
tricho_phage_NPSG.2	30760	30912	0	0
tricho_phage_NPSG.2	31006	31899	603	6
tricho_phage_NPSG.2	31965	32186	38	2
tricho_phage_NPSG.2	32427	33380	30	2
tricho_phage_NPSG.2	33371	33520	26	2
tricho_phage_NPSG.2	33632	33817	0	0
tricho_phage_NPSG.2	34477	35613	38	2
tricho_phage_NPSG.2	36314	38275	768	40
tricho_phage_NPSG.2	38301	38663	42	2
tricho_phage_NPSG.2	38620	39342	10190	536
tricho_phage_NPSG.2	39448	40029	0	0
tricho_phage_NPSG.2	40040	40780	0	0
tricho_phage_NPSG.2	40795	41433	295	24
tricho_phage_NPSG.2	41532	41837	0	0
tricho_phage_NPSG.2	41948	42127	0	0
tricho_phage_NPSG.2	42117	42311	0	0
tricho_phage_NPSG.2	42871	43326	0	0
tricho_phage_NPSG.2	43352	44413	38	2
tricho_phage_NPSG.2	44490	45002	38	2
tricho_phage_NPSG.2	45054	45476	38	2
tricho_phage_NPSG.2	45483	46223	80	4
tricho_phage_NPSG.2	46333	46791	0	0
tricho_phage_NPSG.2	46836	47504	0	0
tricho_phage_NPSG.2	47605	48066	0	0
tricho_phage_NPSG.2	48140	51769	625	16
tricho_phage_NPSG.2	52051	52557	114	6
tricho_phage_NPSG.2	53111	53557	152	8
tricho_phage_NPSG.2	53832	54134	0	0
tricho_phage_NPSG.2	54224	54349	0	0
tricho_phage_NPSG.2	54336	55283	0	0
tricho_phage_NPSG.2	55361	56770	0	0
tricho_phage_NPSG.2	56802	57173	0	0
tricho_phage_NPSG.2	57350	57877	0	0
tricho_phage_NPSG.2	57898	58578	120	6
tricho_phage_NPSG.2	58933	61149	30311	1586
tricho_phage_NPSG.2	61220	62137	0	0
tricho_phage_NPSG.2	62141	62542	202	10
tricho_phage_NPSG.2	62509	62910	0	0
tricho_phage_NPSG.2	62936	63319	0	0
tricho_phage_NPSG.2	63325	63825	0	0
tricho_phage_NPSG.2	63896	64636	0	0
tricho_phage_NPSG.2	64669	65142	40	2
tricho_phage_NPSG.2	65595	66323	834	18
tricho_phage_NPSG.2	66332	68194	1374	72
tricho_phage_NPSG.2	68347	68601	0	0
tricho_phage_NPSG.2	68598	68921	628	8
tricho_phage_NPSG.2	68954	69685	767	62
tricho_phage_NPSG.2	69738	70466	1047	12
tricho_phage_NPSG.2	70484	70729	0	0
tricho_phage_NPSG.2	70732	70980	0	0
tricho_phage_NPSG.2	70977	71384	0	0
tricho_phage_NPSG.2	71381	71794	0	0
tricho_phage_NPSG.2	71866	72267	40	2
tricho_phage_NPSG.2	72682	73515	115	6
