#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
tricho_phage_NPSG.2	1	149200	2262	47789	32.0302	1.33847	37.8	58.8
Bin_1_Bin_1_Bin_1-contigs_c_000000002334	1	3716	4431	3681	99.0581	119.28	37.4	59.1
Bin_1_Bin_1_Bin_1-contigs_c_000000002591	1	3457	4189	3457	100	118.846	37.5	57.7
Bin_1_Bin_1_Bin_1-contigs_c_000000008122	1	1660	1763	1631	98.253	106.066	37.7	58.1
Bin_1_Bin_1_Bin_1-contigs_c_000000003897	1	2660	3641	2660	100	133.977	37.3	58.4
Bin_1_Bin_1_Bin_1-contigs_c_000000003812	1	2697	3209	2697	100	119.205	37.5	57.3
Bin_1_Bin_1_Bin_1-contigs_c_000000006142	1	1990	208	981	49.2965	9.38995	37.6	24.2
Bin_1_Bin_1_Bin_1-contigs_c_000000011600	1	1307	574	1248	95.4858	42.6021	37.5	48.7
Bin_1_Bin_1_Bin_1-contigs_c_000000002144	1	3948	4974	3948	100	123.513	37.4	56.5
Bin_1_Bin_1_Bin_1-contigs_c_000000011614	1	1306	1486	1305	99.9234	112.414	37.6	52.8
Bin_1_Bin_1_Bin_1-contigs_c_000000014014	1	1152	573	1127	97.8299	47.2257	37.8	24.9
Bin_1_Bin_1_Bin_1-contigs_c_000000003109	1	3074	3908	3074	100	124.16	37.3	55.8
Bin_1_Bin_1_Bin_1-contigs_c_000000014174	1	1143	738	1143	100	64.2835	37.1	54.3
Bin_1_Bin_1_Bin_1-contigs_c_000000007961	1	1683	2038	1683	100	120.865	36.6	56.2
Bin_1_Bin_1_Bin_1-contigs_c_000000011690	1	1300	831	1278	98.3077	62.6523	37.3	24.7
Bin_1_Bin_1_Bin_1-contigs_c_000000001170	1	5928	3686	5913	99.747	62.0673	37.7	25.9
Bin_1_Bin_1_Bin_1-contigs_c_000000013460	1	1184	1453	1184	100	121.247	36.9	57.5
Bin_1_Bin_1_Bin_1-contigs_c_000000012598	1	1237	1502	1237	100	119.846	37.4	59.2
Bin_1_Bin_1_Bin_1-contigs_c_000000000634	1	8731	11140	8731	100	125.922	37.4	58.3
Bin_1_Bin_1_Bin_1-contigs_c_000000004316	1	2489	2647	2489	100	104.56	37.4	56.7
Bin_1_Bin_1_Bin_1-contigs_c_000000005803	1	2067	2316	2067	100	109.02	37.2	57.9
Bin_1_Bin_1_Bin_1-contigs_c_000000009632	1	1484	2638	1484	100	169.074	37.1	52.2
Bin_1_Bin_1_Bin_1-contigs_c_000000006279	1	1962	2286	1962	100	116.061	37.1	59.4
Bin_1_Bin_1_Bin_1-contigs_c_000000016858	1	1021	1170	1021	100	111.399	37.8	59.6
Bin_1_Bin_1_Bin_1-contigs_c_000000006482	1	1922	2617	1922	100	134.085	37.5	59.1
Bin_1_Bin_1_Bin_1-contigs_c_000000001828	1	4379	3947	4238	96.7801	90.3932	37.7	54.6
Bin_1_Bin_1_Bin_1-contigs_c_000000005794	1	2070	2468	2070	100	118.356	37.3	59.1
Bin_1_Bin_1_Bin_1-contigs_c_000000010666	1	1387	1801	1387	100	123.893	37.4	57.5
Bin_1_Bin_1_Bin_1-contigs_c_000000002270	1	3796	4585	3796	100	120.016	37.6	58
Bin_1_Bin_1_Bin_1-contigs_c_000000004205	1	2530	3076	2530	100	119.005	37.6	55
Bin_1_Bin_1_Bin_1-contigs_c_000000002742	1	3333	3405	3333	100	102.054	37.9	59.9
Bin_1_Bin_1_Bin_1-contigs_c_000000009694	1	1477	943	1235	83.6154	63.0867	37.3	45.2
Bin_1_Bin_1_Bin_1-contigs_c_000000001955	1	4188	4734	4188	100	112.591	37.5	59.2
Bin_1_Bin_1_Bin_1-contigs_c_000000008501	1	1610	5432	1610	100	337.757	37.6	43
Bin_1_Bin_1_Bin_1-contigs_c_000000002522	1	3512	4510	3512	100	126.724	37.3	58.3
Bin_1_Bin_1_Bin_1-contigs_c_000000016125	1	1052	115	1047	99.5247	10.9534	37.8	0
Bin_1_Bin_1_Bin_1-contigs_c_000000000845	1	7296	8314	7296	100	114.199	37.6	59.6
Bin_1_Bin_1_Bin_1-contigs_c_000000016860	1	1021	2	119	11.6552	0.116552	40.6	36
Bin_1_Bin_1_Bin_1-contigs_c_000000008477	1	1613	1890	1613	100	112.275	38	57.5
Bin_1_Bin_1_Bin_1-contigs_c_000000005527	1	2131	2639	2131	100	122.955	37.6	58.6
Bin_1_Bin_1_Bin_1-contigs_c_000000016557	1	1033	825	960	92.9332	75.97	37.7	50.2
Bin_1_Bin_1_Bin_1-contigs_c_000000008074	1	1666	2025	1666	100	119.764	37.6	58.2
Bin_1_Bin_1_Bin_1-contigs_c_000000005009	1	2273	3032	2273	100	133.333	37.1	58
Bin_1_Bin_1_Bin_1-contigs_c_000000012136	1	1268	117	1263	99.6057	8.58123	37.8	43.3
Bin_1_Bin_1_Bin_1-contigs_c_000000005877	1	2050	3113	2043	99.6585	146.676	37.5	37.2
Bin_1_Bin_1_Bin_1-contigs_c_000000002923	1	3196	3984	3196	100	124.498	37.6	59.5
Bin_1_Bin_1_Bin_1-contigs_c_000000017030	1	1014	1902	1014	100	172.722	38	43.3
Bin_1_Bin_1_Bin_1-contigs_c_000000008355	1	1629	803	1629	100	48.3112	37.2	58.1
Bin_1_Bin_1_Bin_1-contigs_c_000000004841	1	2331	2915	2331	100	122.827	37.3	59.6
Bin_1_Bin_1_Bin_1-contigs_c_000000008772	1	1579	1161	1579	100	72.8189	37.2	31.3
Bin_1_Bin_1_Bin_1-contigs_c_000000004486	1	2434	3190	2428	99.7535	127.541	38.1	32.9
