#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
tricho_phage_NPSG.2	1	149200	752	41220	27.6273	0.475141	37.3	59.6
Bin_1_Bin_1_Bin_1-contigs_c_000000002334	1	3716	3574	3716	100	95.8587	37	59.7
Bin_1_Bin_1_Bin_1-contigs_c_000000002591	1	3457	3708	3457	100	104.79	37.3	58.2
Bin_1_Bin_1_Bin_1-contigs_c_000000008122	1	1660	1405	1620	97.5904	84.1301	37.2	58.6
Bin_1_Bin_1_Bin_1-contigs_c_000000003897	1	2660	2723	2660	100	100.662	37	59.4
Bin_1_Bin_1_Bin_1-contigs_c_000000003812	1	2697	2338	2697	100	86.3081	37	57.5
Bin_1_Bin_1_Bin_1-contigs_c_000000006142	1	1990	394	1990	100	18.6015	37.3	42.8
Bin_1_Bin_1_Bin_1-contigs_c_000000011600	1	1307	396	1307	100	28.9373	37.3	48.6
Bin_1_Bin_1_Bin_1-contigs_c_000000002144	1	3948	4056	3948	100	100.524	36.9	57.4
Bin_1_Bin_1_Bin_1-contigs_c_000000011614	1	1306	1159	1299	99.464	88.2435	37.2	55.3
Bin_1_Bin_1_Bin_1-contigs_c_000000014014	1	1152	714	1152	100	59.8273	37.2	32.5
Bin_1_Bin_1_Bin_1-contigs_c_000000003109	1	3074	3207	3074	100	101.792	36.8	57
Bin_1_Bin_1_Bin_1-contigs_c_000000014174	1	1143	1016	1143	100	87.1907	37	54.6
Bin_1_Bin_1_Bin_1-contigs_c_000000007961	1	1683	1447	1683	100	84.8829	36.4	56.4
Bin_1_Bin_1_Bin_1-contigs_c_000000011690	1	1300	803	1300	100	59.84	37	27.4
Bin_1_Bin_1_Bin_1-contigs_c_000000001170	1	5928	3363	5924	99.9325	56.5655	37.2	30.4
Bin_1_Bin_1_Bin_1-contigs_c_000000013460	1	1184	1220	1184	100	100.677	36.6	57.8
Bin_1_Bin_1_Bin_1-contigs_c_000000012598	1	1237	1221	1237	100	97.1358	36.9	59.4
Bin_1_Bin_1_Bin_1-contigs_c_000000000634	1	8731	9158	8731	100	103.721	37	58.6
Bin_1_Bin_1_Bin_1-contigs_c_000000004316	1	2489	2593	2489	100	100.368	36.8	55.4
Bin_1_Bin_1_Bin_1-contigs_c_000000005803	1	2067	2088	2067	100	99.0527	37	57.8
Bin_1_Bin_1_Bin_1-contigs_c_000000009632	1	1484	1996	1484	100	124.398	36.5	50.9
Bin_1_Bin_1_Bin_1-contigs_c_000000006279	1	1962	1895	1962	100	95.3685	36.7	59.5
Bin_1_Bin_1_Bin_1-contigs_c_000000016858	1	1021	958	1021	100	90.3692	37.3	58.7
Bin_1_Bin_1_Bin_1-contigs_c_000000006482	1	1922	1946	1922	100	99.0791	37.1	58.8
Bin_1_Bin_1_Bin_1-contigs_c_000000001828	1	4379	2921	4378	99.9772	66.586	37.3	56.6
Bin_1_Bin_1_Bin_1-contigs_c_000000005794	1	2070	2202	2070	100	105.449	36.9	59.5
Bin_1_Bin_1_Bin_1-contigs_c_000000010666	1	1387	1373	1387	100	94.9986	37	57.3
Bin_1_Bin_1_Bin_1-contigs_c_000000002270	1	3796	3479	3796	100	90.5582	37.2	58.1
Bin_1_Bin_1_Bin_1-contigs_c_000000004205	1	2530	2634	2530	100	102.17	37.1	57.2
Bin_1_Bin_1_Bin_1-contigs_c_000000002742	1	3333	533	3333	100	15.8905	37.4	59.9
