#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
tricho_phage_NPSG.2	1	149200	1729	70863	47.4953	1.07351	37.4	57.9
Bin_1_Bin_1_Bin_1-contigs_c_000000002334	1	3716	8475	3716	100	225.548	37	59.4
Bin_1_Bin_1_Bin_1-contigs_c_000000002591	1	3457	6712	3457	100	188.699	37.3	57.8
Bin_1_Bin_1_Bin_1-contigs_c_000000008122	1	1660	2749	1659	99.9398	163.606	37.3	58.5
Bin_1_Bin_1_Bin_1-contigs_c_000000003897	1	2660	5612	2660	100	206.135	37	59.5
Bin_1_Bin_1_Bin_1-contigs_c_000000003812	1	2697	4639	2697	100	170.302	37	56.4
Bin_1_Bin_1_Bin_1-contigs_c_000000006142	1	1990	3557	1990	100	171.808	36.9	46.3
Bin_1_Bin_1_Bin_1-contigs_c_000000011600	1	1307	1053	1307	100	77.036	37.5	46.5
Bin_1_Bin_1_Bin_1-contigs_c_000000002144	1	3948	8528	3948	100	209.994	36.9	57
Bin_1_Bin_1_Bin_1-contigs_c_000000011614	1	1306	2338	1306	100	177.513	37.3	55.4
Bin_1_Bin_1_Bin_1-contigs_c_000000014014	1	1152	1410	1152	100	119.339	37.2	34.7
Bin_1_Bin_1_Bin_1-contigs_c_000000003109	1	3074	6530	3074	100	206.489	37	56.8
Bin_1_Bin_1_Bin_1-contigs_c_000000014174	1	1143	1561	1143	100	133.352	37.1	53.5
Bin_1_Bin_1_Bin_1-contigs_c_000000007961	1	1683	4593	1683	100	262.472	36.3	55.1
Bin_1_Bin_1_Bin_1-contigs_c_000000011690	1	1300	1796	1300	100	135.108	36.9	26.1
Bin_1_Bin_1_Bin_1-contigs_c_000000001170	1	5928	6107	5928	100	102.149	37.3	29.5
Bin_1_Bin_1_Bin_1-contigs_c_000000013460	1	1184	4165	1184	100	343.569	36.8	57.8
Bin_1_Bin_1_Bin_1-contigs_c_000000012598	1	1237	3078	1237	100	242.745	37	59.3
Bin_1_Bin_1_Bin_1-contigs_c_000000000634	1	8731	19980	8731	100	225.08	37	59.1
Bin_1_Bin_1_Bin_1-contigs_c_000000004316	1	2489	5815	2489	100	221.569	36.9	53.4
Bin_1_Bin_1_Bin_1-contigs_c_000000005803	1	2067	4295	2067	100	202.489	36.9	58.1
Bin_1_Bin_1_Bin_1-contigs_c_000000009632	1	1484	4369	1484	100	276.724	36.8	50.7
Bin_1_Bin_1_Bin_1-contigs_c_000000006279	1	1962	4460	1962	100	223.412	36.8	59.4
Bin_1_Bin_1_Bin_1-contigs_c_000000016858	1	1021	1701	1021	100	160.635	37.4	59.3
Bin_1_Bin_1_Bin_1-contigs_c_000000006482	1	1922	5379	1922	100	269.607	37.2	58.8
Bin_1_Bin_1_Bin_1-contigs_c_000000001828	1	4379	5458	4371	99.8173	123.869	37.5	55.7
Bin_1_Bin_1_Bin_1-contigs_c_000000005794	1	2070	5208	2070	100	247.931	36.9	58.6
Bin_1_Bin_1_Bin_1-contigs_c_000000010666	1	1387	3037	1387	100	210.412	37.2	56.9
Bin_1_Bin_1_Bin_1-contigs_c_000000002270	1	3796	6476	3796	100	168.177	37.2	57.7
Bin_1_Bin_1_Bin_1-contigs_c_000000004205	1	2530	5471	2530	100	211.423	37.3	56.5
Bin_1_Bin_1_Bin_1-contigs_c_000000002742	1	3333	1350	3333	100	39.9193	37.5	59.9
Bin_1_Bin_1_Bin_1-contigs_c_000000009694	1	1477	1545	1477	100	101.259	37	51.9
Bin_1_Bin_1_Bin_1-contigs_c_000000001955	1	4188	8182	4188	100	191.673	37.2	59.2
Bin_1_Bin_1_Bin_1-contigs_c_000000008501	1	1610	4112	1610	100	251.975	37.2	41.4
Bin_1_Bin_1_Bin_1-contigs_c_000000002522	1	3512	8203	3512	100	227.972	37	57.3
Bin_1_Bin_1_Bin_1-contigs_c_000000016125	1	1052	174	1040	98.8593	16.1388	37.5	0
Bin_1_Bin_1_Bin_1-contigs_c_000000000845	1	7296	12808	7296	100	173.942	37.2	59.5
Bin_1_Bin_1_Bin_1-contigs_c_000000016860	1	1021	1	98	9.59843	0.0959843	37.7	37
Bin_1_Bin_1_Bin_1-contigs_c_000000008477	1	1613	1941	1613	100	113.271	37.6	57
Bin_1_Bin_1_Bin_1-contigs_c_000000005527	1	2131	4469	2131	100	205.731	37.2	59
Bin_1_Bin_1_Bin_1-contigs_c_000000008074	1	1666	4046	1666	100	233.392	37.2	56.9
Bin_1_Bin_1_Bin_1-contigs_c_000000005009	1	2273	5967	2273	100	259.239	36.9	58.2
Bin_1_Bin_1_Bin_1-contigs_c_000000012136	1	1268	65	1213	95.6625	4.90773	37.6	28.3
Bin_1_Bin_1_Bin_1-contigs_c_000000005877	1	2050	4825	2009	98	224.104	36.9	36.3
Bin_1_Bin_1_Bin_1-contigs_c_000000002923	1	3196	8888	3196	100	273.686	37.3	58.8
Bin_1_Bin_1_Bin_1-contigs_c_000000017030	1	1014	2572	1014	100	241.555	37.5	51.8
Bin_1_Bin_1_Bin_1-contigs_c_000000008355	1	1629	955	1629	100	56.6814	37.1	58.2
Bin_1_Bin_1_Bin_1-contigs_c_000000004841	1	2331	5488	2331	100	230.359	37	59.8
Bin_1_Bin_1_Bin_1-contigs_c_000000008772	1	1579	3593	1579	100	223.203	36.8	31.9
Bin_1_Bin_1_Bin_1-contigs_c_000000004486	1	2434	6321	2428	99.7535	251.274	37.6	33.9
Bin_1_Bin_1_Bin_1-contigs_c_000000010647	1	1389	4016	1389	100	249.36	37.5	59
Bin_1_Bin_1_Bin_1-contigs_c_000000004013	1	2606	7230	2606	100	272.668	36.7	59.4
Bin_1_Bin_1_Bin_1-contigs_c_000000002315	1	3743	7670	3743	100	201.47	37.1	59.3
Bin_1_Bin_1_Bin_1-contigs_c_000000001521	1	4934	11168	4934	100	222.298	37.2	59.5
Bin_1_Bin_1_Bin_1-contigs_c_000000008201	1	1650	2936	1650	100	176.071	37.5	57.6
Bin_1_Bin_1_Bin_1-contigs_c_000000007921	1	1689	3069	1689	100	177.433	37.3	58.2
Bin_1_Bin_1_Bin_1-contigs_c_000000002233	1	3839	5468	3839	100	137.513	37.2	57.9
Bin_1_Bin_1_Bin_1-contigs_c_000000011872	1	1287	4216	1287	100	294.067	36.7	31.9
Bin_1_Bin_1_Bin_1-contigs_c_000000012858	1	1221	2797	1221	100	224.426	36.5	59.2
Bin_1_Bin_1_Bin_1-contigs_c_000000010186	1	1432	2720	1432	100	187.446	37.1	59.3
Bin_1_Bin_1_Bin_1-contigs_c_000000011390	1	1322	3258	1322	100	238.579	36.8	58.8
Bin_1_Bin_1_Bin_1-contigs_c_000000008714	1	1586	3767	1586	100	229.545	37.1	58.5
Bin_1_Bin_1_Bin_1-contigs_c_000000009153	1	1535	3116	1535	100	198.718	36.9	59.3
Bin_1_Bin_1_Bin_1-contigs_c_000000001152	1	6013	11308	6013	100	186.295	37.1	54.9
Bin_1_Bin_1_Bin_1-contigs_c_000000001742	1	4524	9664	4524	100	211.384	37	58.8
Bin_1_Bin_1_Bin_1-contigs_c_000000014804	1	1111	1885	1100	99.0099	165.079	37	52.6
Bin_1_Bin_1_Bin_1-contigs_c_000000003170	1	3034	6374	3034	100	205.396	37.1	58.2
Bin_1_Bin_1_Bin_1-contigs_c_000000013544	1	1179	3151	1179	100	247.617	36.9	55.1
Bin_1_Bin_1_Bin_1-contigs_c_000000002357	1	3689	7356	3689	100	195.064	37.2	57.2
Bin_1_Bin_1_Bin_1-contigs_c_000000004216	1	2526	5685	2526	100	222.219	37	58
Bin_1_Bin_1_Bin_1-contigs_c_000000010979	1	1358	838	1345	99.0427	60.2378	37.3	59.9
Bin_1_Bin_1_Bin_1-contigs_c_000000012900	1	1218	1200	1218	100	95.9278	36.9	60
Bin_1_Bin_1_Bin_1-contigs_c_000000007739	1	1714	863	1282	74.7958	45.8716	35.8	17.1
Bin_1_Bin_1_Bin_1-contigs_c_000000011859	1	1288	463	1288	100	31.7873	37.5	51
Bin_1_Bin_1_Bin_1-contigs_c_000000008743	1	1582	1130	1582	100	69.6574	37.2	27.2
Bin_1_Bin_1_Bin_1-contigs_c_000000000803	1	7482	14169	7482	100	186.366	37.2	58.2
Bin_1_Bin_1_Bin_1-contigs_c_000000001944	1	4206	8389	4206	100	194.997	36.9	58.2
Bin_1_Bin_1_Bin_1-contigs_c_000000005991	1	2023	4842	2023	100	234.058	37	58.2
Bin_1_Bin_1_Bin_1-contigs_c_000000007767	1	1710	3653	1710	100	202.902	37.2	51.6
Bin_1_Bin_1_Bin_1-contigs_c_000000010358	1	1414	2307	1414	100	159.89	37.5	59.8
Bin_1_Bin_1_Bin_1-contigs_c_000000005788	1	2071	3233	2071	100	153.389	37.4	58.9
Bin_1_Bin_1_Bin_1-contigs_c_000000007659	1	1726	4678	1726	100	265.809	36.9	55.2
Bin_1_Bin_1_Bin_1-contigs_c_000000004287	1	2503	4627	2503	100	181.804	37.4	58.5
Bin_1_Bin_1_Bin_1-contigs_c_000000003847	1	2683	7528	2683	100	272.254	37.2	59.3
Bin_1_Bin_1_Bin_1-contigs_c_000000003368	1	2919	3401	2919	100	114.698	37.1	58.5
Bin_1_Bin_1_Bin_1-contigs_c_000000000941	1	6899	15913	6899	100	225.279	36.6	50.4
Bin_1_Bin_1_Bin_1-contigs_c_000000001723	1	4572	11115	4572	100	239.846	37.1	58.8
Bin_1_Bin_1_Bin_1-contigs_c_000000012792	1	1225	1403	1225	100	110.258	37.4	56.6
Bin_1_Bin_1_Bin_1-contigs_c_000000004800	1	2344	4850	2344	100	203.225	37.1	56.1
Bin_1_Bin_1_Bin_1-contigs_c_000000008202	1	1650	2738	1650	100	162.483	37.6	58.1
Bin_1_Bin_1_Bin_1-contigs_c_000000004935	1	2297	3795	2297	100	161.648	37.4	57.9
Bin_1_Bin_1_Bin_1-contigs_c_000000009950	1	1454	1776	1454	100	120.191	37.2	11.3
Bin_1_Bin_1_Bin_1-contigs_c_000000009006	1	1552	2313	1552	100	145.712	37.5	59.7
Bin_1_Bin_1_Bin_1-contigs_c_000000002856	1	3237	5486	3237	100	167.795	37.3	59.8
Bin_1_Bin_1_Bin_1-contigs_c_000000003443	1	2877	6707	2877	100	229.176	37	59.1
Bin_1_Bin_1_Bin_1-contigs_c_000000002089	1	4018	2	159	3.95719	0.0502738	36.9	60
Bin_1_Bin_1_Bin_1-contigs_c_000000011894	1	1286	2044	1286	100	152.166	37.4	57.1
Bin_1_Bin_1_Bin_1-contigs_c_000000005235	1	2202	5475	2158	98.0018	242.582	36.9	36.5
Bin_1_Bin_1_Bin_1-contigs_c_000000002510	1	3528	9586	3528	100	265.044	36.8	56.7
Bin_1_Bin_1_Bin_1-contigs_c_000000013615	1	1175	2812	1175	100	233.236	36.5	57.7
Bin_1_Bin_1_Bin_1-contigs_c_000000006353	1	1947	3909	1947	100	196.093	37.4	55.6
Bin_1_Bin_1_Bin_1-contigs_c_000000000895	1	7039	15407	7039	100	216.012	36.9	56.2
Bin_1_Bin_1_Bin_1-contigs_c_000000011384	1	1323	2557	1323	100	187.891	37.4	58.1
Bin_1_Bin_1_Bin_1-contigs_c_000000008596	1	1599	1996	1599	100	122.283	37.4	49.7
Bin_1_Bin_1_Bin_1-contigs_c_000000001194	1	5859	14492	5859	100	243.205	36.9	59.3
Bin_1_Bin_1_Bin_1-contigs_c_000000006623	1	1896	3394	1896	100	171.434	37.2	59.2
Bin_1_Bin_1_Bin_1-contigs_c_000000006395	1	1938	6440	1938	100	320.835	36.9	56.6
Bin_1_Bin_1_Bin_1-contigs_c_000000010469	1	1404	5262	1404	100	367.805	36.5	59.7
Bin_1_Bin_1_Bin_1-contigs_c_000000009255	1	1524	4116	1524	100	260.852	36.5	59.6
Bin_1_Bin_1_Bin_1-contigs_c_000000001146	1	6023	9983	6023	100	163.021	37.3	58.2
Bin_1_Bin_1_Bin_1-contigs_c_000000002025	1	4097	6908	4097	100	166.688	37.2	56.5
Bin_1_Bin_1_Bin_1-contigs_c_000000005416	1	2160	4750	2160	100	215.351	37	57.8
Bin_1_Bin_1_Bin_1-contigs_c_000000004575	1	2409	5834	2409	100	238.256	36.9	59.5
Bin_1_Bin_1_Bin_1-contigs_c_000000012360	1	1253	299	1253	100	20.2698	37.5	49.8
Bin_1_Bin_1_Bin_1-contigs_c_000000009410	1	1508	2268	1508	100	147.899	37.4	57.8
Bin_1_Bin_1_Bin_1-contigs_c_000000014747	1	1114	1340	1114	100	118.063	37	21.3
Bin_1_Bin_1_Bin_1-contigs_c_000000006336	1	1950	4375	1950	100	220.359	37	59
Bin_1_Bin_1_Bin_1-contigs_c_000000006612	1	1898	2669	1898	100	138.776	37.5	56
Bin_1_Bin_1_Bin_1-contigs_c_000000014498	1	1126	1729	1126	100	148.575	37.5	59.6
Bin_1_Bin_1_Bin_1-contigs_c_000000011188	1	1340	1681	1340	100	122.355	36.4	32.9
