#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
tricho_phage_NPSG.2	1	149200	1951	63476	42.5442	1.24038	37.4	59.8
Bin_1_Bin_1_Bin_1-contigs_c_000000002334	1	3716	3215	3716	100	86.6041	37.2	59.6
Bin_1_Bin_1_Bin_1-contigs_c_000000002591	1	3457	1814	3457	100	51.77	37.4	58.7
Bin_1_Bin_1_Bin_1-contigs_c_000000008122	1	1660	698	1646	99.1566	42.0988	37.8	59.3
Bin_1_Bin_1_Bin_1-contigs_c_000000003897	1	2660	1915	2660	100	71.0135	37.1	59.5
Bin_1_Bin_1_Bin_1-contigs_c_000000003812	1	2697	1457	2697	100	53.9425	37.1	57.7
Bin_1_Bin_1_Bin_1-contigs_c_000000006142	1	1990	918	1990	100	44.2025	37.3	45.8
Bin_1_Bin_1_Bin_1-contigs_c_000000011600	1	1307	203	1248	95.4858	14.9212	38.1	43.7
Bin_1_Bin_1_Bin_1-contigs_c_000000002144	1	3948	2712	3948	100	68.0418	37.2	58.2
Bin_1_Bin_1_Bin_1-contigs_c_000000011614	1	1306	798	1262	96.6309	61.121	37.4	57
Bin_1_Bin_1_Bin_1-contigs_c_000000014014	1	1152	298	1112	96.5278	25.2413	37.6	33.7
Bin_1_Bin_1_Bin_1-contigs_c_000000003109	1	3074	2035	3074	100	65.164	37.2	57.6
Bin_1_Bin_1_Bin_1-contigs_c_000000014174	1	1143	509	1143	100	44.2922	37.4	54.9
Bin_1_Bin_1_Bin_1-contigs_c_000000007961	1	1683	1902	1683	100	111.628	36.7	55.5
Bin_1_Bin_1_Bin_1-contigs_c_000000011690	1	1300	507	1299	99.9231	37.6554	37.3	24.1
Bin_1_Bin_1_Bin_1-contigs_c_000000001170	1	5928	1881	5927	99.9831	31.6211	37.5	30.3
Bin_1_Bin_1_Bin_1-contigs_c_000000013460	1	1184	1454	1184	100	120.983	36.9	58
Bin_1_Bin_1_Bin_1-contigs_c_000000012598	1	1237	1159	1237	100	92.9572	37.1	59.7
Bin_1_Bin_1_Bin_1-contigs_c_000000000634	1	8731	6296	8731	100	71.7026	37.3	59.2
Bin_1_Bin_1_Bin_1-contigs_c_000000004316	1	2489	1875	2489	100	73.311	37	56.3
Bin_1_Bin_1_Bin_1-contigs_c_000000005803	1	2067	1079	2067	100	51.2685	37.1	58.1
Bin_1_Bin_1_Bin_1-contigs_c_000000009632	1	1484	1250	1484	100	77.7338	36.9	49.2
Bin_1_Bin_1_Bin_1-contigs_c_000000006279	1	1962	1073	1962	100	54.4215	36.8	59.6
Bin_1_Bin_1_Bin_1-contigs_c_000000016858	1	1021	352	1021	100	32.857	37.7	58.7
Bin_1_Bin_1_Bin_1-contigs_c_000000006482	1	1922	1958	1922	100	99.2534	37.5	59.1
Bin_1_Bin_1_Bin_1-contigs_c_000000001828	1	4379	1754	4361	99.5889	40.0756	37.7	54.8
Bin_1_Bin_1_Bin_1-contigs_c_000000005794	1	2070	1925	2070	100	92.4464	37.1	59.2
Bin_1_Bin_1_Bin_1-contigs_c_000000010666	1	1387	1094	1387	100	76.5818	37.3	58.4
Bin_1_Bin_1_Bin_1-contigs_c_000000002270	1	3796	2012	3791	99.8683	52.687	37.5	58.2
Bin_1_Bin_1_Bin_1-contigs_c_000000004205	1	2530	1770	2530	100	69.0482	37.4	57
Bin_1_Bin_1_Bin_1-contigs_c_000000002742	1	3333	419	3333	100	12.5383	37.9	60
Bin_1_Bin_1_Bin_1-contigs_c_000000009694	1	1477	452	1476	99.9323	30.0535	37.4	51.5
Bin_1_Bin_1_Bin_1-contigs_c_000000001955	1	4188	2285	4188	100	54.1478	37.4	58.9
Bin_1_Bin_1_Bin_1-contigs_c_000000008501	1	1610	974	1603	99.5652	60.2621	37.3	41.3
Bin_1_Bin_1_Bin_1-contigs_c_000000002522	1	3512	2732	3512	100	77.0305	37.2	58.2
Bin_1_Bin_1_Bin_1-contigs_c_000000016125	1	1052	22	918	87.2624	2.01711	37.9	0
Bin_1_Bin_1_Bin_1-contigs_c_000000000845	1	7296	3044	7296	100	41.5356	37.5	59.7
Bin_1_Bin_1_Bin_1-contigs_c_000000016860	1	1021	8	230	22.5269	0.624878	34	26.1
Bin_1_Bin_1_Bin_1-contigs_c_000000008477	1	1613	555	1613	100	32.2238	37.7	57.7
Bin_1_Bin_1_Bin_1-contigs_c_000000005527	1	2131	1110	2131	100	51.9212	37.5	59.3
Bin_1_Bin_1_Bin_1-contigs_c_000000016557	1	1033	210	960	92.9332	19.4666	37.5	51.1
Bin_1_Bin_1_Bin_1-contigs_c_000000008074	1	1666	1312	1666	100	76.8637	37.4	58.5
Bin_1_Bin_1_Bin_1-contigs_c_000000005009	1	2273	2386	2273	100	104.679	37	58.9
Bin_1_Bin_1_Bin_1-contigs_c_000000012136	1	1268	11	568	44.795	0.753943	35.1	29.3
Bin_1_Bin_1_Bin_1-contigs_c_000000005877	1	2050	1482	2023	98.6829	69.4556	37.2	37.5
Bin_1_Bin_1_Bin_1-contigs_c_000000002923	1	3196	2498	3196	100	77.4997	37.4	58.7
Bin_1_Bin_1_Bin_1-contigs_c_000000017030	1	1014	637	1014	100	60.5394	37.8	51.2
Bin_1_Bin_1_Bin_1-contigs_c_000000008355	1	1629	330	1609	98.7723	19.9945	37.2	58.6
Bin_1_Bin_1_Bin_1-contigs_c_000000004841	1	2331	1614	2331	100	68.2982	37	59.9
Bin_1_Bin_1_Bin_1-contigs_c_000000008772	1	1579	1451	1579	100	91.4015	37.1	32.1
Bin_1_Bin_1_Bin_1-contigs_c_000000004486	1	2434	1202	2425	99.6302	48.9133	37.8	34.3
Bin_1_Bin_1_Bin_1-contigs_c_000000010647	1	1389	1230	1389	100	76.9726	37.6	58.9
Bin_1_Bin_1_Bin_1-contigs_c_000000004013	1	2606	2346	2606	100	89.7287	36.9	59.3
Bin_1_Bin_1_Bin_1-contigs_c_000000002315	1	3743	2594	3743	100	68.9263	37.3	59.7
Bin_1_Bin_1_Bin_1-contigs_c_000000003462	1	2869	2	182	6.34367	0.0634367	36	0
Bin_1_Bin_1_Bin_1-contigs_c_000000001521	1	4934	3742	4934	100	75.5306	37.4	59.6
Bin_1_Bin_1_Bin_1-contigs_c_000000008201	1	1650	823	1650	100	50.0073	37.7	57.5
Bin_1_Bin_1_Bin_1-contigs_c_000000007921	1	1689	988	1689	100	57.4204	37.7	58
Bin_1_Bin_1_Bin_1-contigs_c_000000002233	1	3839	1926	3839	100	48.9732	37.2	58.3
Bin_1_Bin_1_Bin_1-contigs_c_000000011872	1	1287	1262	1287	100	88.5594	36.9	35
Bin_1_Bin_1_Bin_1-contigs_c_000000012858	1	1221	680	1221	100	55.3767	36.7	59.7
Bin_1_Bin_1_Bin_1-contigs_c_000000010186	1	1432	890	1432	100	62.0628	37.4	59.6
Bin_1_Bin_1_Bin_1-contigs_c_000000011390	1	1322	747	1322	100	55.3903	37.2	59.2
Bin_1_Bin_1_Bin_1-contigs_c_000000008714	1	1586	1124	1586	100	69.3253	37.2	58.4
Bin_1_Bin_1_Bin_1-contigs_c_000000009153	1	1535	1024	1535	100	65.9166	37.4	59.6
Bin_1_Bin_1_Bin_1-contigs_c_000000001152	1	6013	3331	6013	100	55.5945	37.3	54.7
