#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
tricho_phage_NPSG.2	1	149200	1996	80465	53.931	1.23715	37.6	58.6
Bin_1_Bin_1_Bin_1-contigs_c_000000002334	1	3716	8229	3716	100	220.392	37.5	59.5
Bin_1_Bin_1_Bin_1-contigs_c_000000002591	1	3457	7974	3457	100	224.453	37.6	57.3
Bin_1_Bin_1_Bin_1-contigs_c_000000008122	1	1660	3308	1660	100	198.071	37.6	58.4
Bin_1_Bin_1_Bin_1-contigs_c_000000003897	1	2660	5898	2660	100	218.124	37.4	59.4
Bin_1_Bin_1_Bin_1-contigs_c_000000003812	1	2697	5345	2697	100	196.828	37.4	56.7
Bin_1_Bin_1_Bin_1-contigs_c_000000006142	1	1990	3561	1990	100	174.203	37.4	47.9
Bin_1_Bin_1_Bin_1-contigs_c_000000011600	1	1307	1431	1260	96.404	105.829	37.8	46
Bin_1_Bin_1_Bin_1-contigs_c_000000002144	1	3948	9023	3948	100	224.357	37.4	57.5
Bin_1_Bin_1_Bin_1-contigs_c_000000011614	1	1306	2631	1306	100	199.335	37.7	54.6
Bin_1_Bin_1_Bin_1-contigs_c_000000014014	1	1152	1571	1152	100	132.018	37.8	33.8
Bin_1_Bin_1_Bin_1-contigs_c_000000003109	1	3074	7238	3074	100	230.469	37.4	57.1
Bin_1_Bin_1_Bin_1-contigs_c_000000014174	1	1143	2057	1143	100	176.992	37.5	54
Bin_1_Bin_1_Bin_1-contigs_c_000000007961	1	1683	4287	1674	99.4652	247.116	36.8	56.2
Bin_1_Bin_1_Bin_1-contigs_c_000000011690	1	1300	1978	1300	100	146.497	37.3	23.1
Bin_1_Bin_1_Bin_1-contigs_c_000000001170	1	5928	7201	5922	99.8988	120.781	37.6	29.6
Bin_1_Bin_1_Bin_1-contigs_c_000000013460	1	1184	3796	1184	100	315.77	37	57.6
Bin_1_Bin_1_Bin_1-contigs_c_000000012598	1	1237	2796	1237	100	222.475	37.3	59.4
